[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3884671344.65497,02/04/2023,11:22 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1038,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM266,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC261,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI280,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Nb-Y-[Ho8-Er6]_10-TaN,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3884677732.34788,101.273292541504,9.63425254821777,3.48424472743354E-6,6.14887693708487E-9,1,3,14.4053468704224,4.97876988183878,34.6099995076656,0.00425907058559986,0.000642399549027704,1,-1.13846883916319E-8,,,,,,,,,,,,,,,,,,,,,101.269134521484,101.277450561523,9.63425254821777,9.63425254821777,52.1799566868132,5.93438988744849,7.05056858062744,43,1,0,0,1,0.338516235351562,31.7693061828613,1,1,1,101.277450561523,0,742397504,101.273292541504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884677917.38231,106.237293243408,9.63425254821777,3.33430520755305E-6,5.76192781650555E-9,1,3,14.4053468704224,4.97879075168497,34.6199981868267,0.00407607725890881,0.000613034072895231,1,-1.23060969177487E-8,,,,,,,,,,,,,,,,,,,,,106.23323059082,106.241355895996,9.63425254821777,9.63425254821777,51.9865036283036,5.93468352912047,7.07169055938721,43,1,0,0,1,0.342025756835937,31.2805480957031,1,1,1,106.241355895996,0,742397728,106.237293243408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884678100.39853,111.200210571289,9.63425254821777,3.21606834558358E-6,6.41353714009783E-9,1,3,14.4053468704224,4.9787811333075,34.6199981868267,0.00393075370306048,0.000596303167617435,1,-7.7696560388805E-9,,,,,,,,,,,,,,,,,,,,,111.197570800781,111.202850341797,9.63425254821777,9.63425254821777,52.0701378798613,5.93388403581041,7.09270906448364,43,1,0,0,1,0.341415405273438,30.7917900085449,1,1,1,111.202850341797,0,742397536,111.200210571289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884678284.40454,116.167316436768,9.63425254821777,3.14217834219142E-6,6.72396256607646E-9,1,3,14.4053468704224,4.97878877044563,34.6199981868267,0.00384064035336309,0.000581381540501164,1,-8.59187087342286E-9,,,,,,,,,,,,,,,,,,,,,116.162368774414,116.172264099121,9.63425254821777,9.63425254821777,52.2143483416594,5.93510105357619,7.11592578887939,43,1,0,0,1,0.3411865234375,31.7693061828613,1,1,1,116.172264099121,0,742397664,116.167316436768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884678469.98953,121.130420684814,9.63425254821777,3.09159313148746E-6,6.58037601353201E-9,1,3,14.4053468704224,4.97879711333093,34.6300005912781,0.0037794087443184,0.00056820214082985,1,-1.15811451254385E-8,,,,,,,,,,,,,,,,,,,,,121.126663208008,121.134178161621,9.63425254821777,9.63425254821777,52.1608067880921,5.93443248173185,7.129234790802,43,1,0,0,1,0.338211059570313,32.7468223571777,1,1,1,121.134178161621,0,742397408,121.130420684814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884678654.55477,126.094921112061,9.63425254821777,3.05214369570251E-6,6.33222554512489E-9,1,3,14.4053468704224,4.9787377156262,34.6300005912781,0.00373049842570359,0.000564976731824753,1,-8.13128265492292E-9,,,,,,,,,,,,,,,,,,,,,126.090446472168,126.099395751953,9.63425254821777,9.63425254821777,52.2065320564671,5.93411941065781,7.14401006698608,43,1,0,0,1,0.341949462890625,30.7917900085449,1,1,1,126.099395751953,0,742397312,126.094921112061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884678840.0276,131.06103515625,9.63425254821777,3.03600561221017E-6,6.67486471332049E-9,1,3,14.4053468704224,4.97874296200761,34.6300005912781,0.00371037876308548,0.000564586491908252,1,-5.96329384922013E-9,,,,,,,,,,,,,,,,,,,,,131.057266235352,131.064804077148,9.63425254821777,9.63425254821777,52.1709679588421,5.9336917709927,7.16064882278442,43,1,0,0,1,0.340805053710937,31.7693061828613,1,1,1,131.064804077148,0,742397568,131.06103515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884679025.61573,136.022239685059,9.63425254821777,3.00953522120735E-6,6.20139946350948E-9,1,3,14.4053468704224,4.97873583741171,34.6399992704391,0.00367924325486422,0.000551736900914146,1,-1.23986554421451E-8,,,,,,,,,,,,,,,,,,,,,136.018859863281,136.025619506836,9.63425254821777,9.63425254821777,52.2819592085728,5.93422992948806,7.175461769104,43,1,0,0,1,0.34027099609375,31.7693061828613,1,1,1,136.025619506836,0,742397632,136.022239685059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884679210.14943,140.989288330078,9.63425254821777,2.99630765959357E-6,7.43357571057478E-9,1,3,14.4053468704224,4.97874990319015,34.6399992704391,0.00366178906499643,0.000557730369314068,1,-5.45547527851787E-9,,,,,,,,,,,,,,,,,,,,,140.985000610352,140.993576049805,9.63425254821777,9.63425254821777,52.0498155383613,5.93499100696509,7.19306707382202,43,1,0,0,1,0.342788696289063,31.7693061828613,1,1,1,140.993576049805,0,742397472,140.989288330078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3884679395.68468,145.95475769043,9.63425254821777,2.98452204467532E-6,6.74341986852376E-9,1,3,14.4053468704224,4.97872876229886,34.6500016748905,0.00364781966974587,0.000552579155511333,1,-7.8519839511425E-9,,,,,,,,,,,,,,,,,,,,,145.95149230957,145.958023071289,9.63425254821777,9.63425254821777,52.0451257672459,5.93472044615516,7.2056155204773,43,1,0,0,1,0.341796875,29.8142719268799,1,1,1,145.958023071289,0,742397408,145.95475769043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
